Symbol,Name,Last,Change,%Chg,"Options Vol.","% Call Options","% Put Options",Time
AXP,"American Express Company",107.63,0.33999999999999,+0.32%,6893,51.8%,48.2%,"11:36 ET"
RIG,"Transocean Inc",10.97,0.09,+0.83%,6767,99.4%,0.6%,"11:36 ET"
AKAM,"Akamai Technologies",76.56,-0.19,-0.25%,6727,45.5%,54.5%,"11:33 ET"
ALNY,"Alnylam Pharmaceut",101.03,-3.22,-3.09%,6654,28.2%,71.8%,"11:33 ET"
BBD,"Banco Bradesco S.A.",6.59,-0.36,-5.18%,6599,33.5%,66.5%,"11:36 ET"
FNSR,"Finisar Corp",18.93,-1.17,-5.82%,6553,63.5%,36.5%,"11:36 ET"
KNX,"Knight-Swift Transporation Inc",36.5,-0.34,-0.92%,6483,93.6%,6.4%,"11:36 ET"
UNP,"Union Pacific Corp",156.59,0.63,+0.40%,6433,60.2%,39.8%,"11:36 ET"
CL,"Colgate-Palmolive Company",67.11,-0.049999999999997,-0.07%,6396,35.5%,64.5%,"11:36 ET"
CRR,"Carbo Ceramics",8.14,0.23,+2.91%,6360,4.5%,95.5%,"11:29 ET"
SODA,"Sodastream Int Ltd",142.62,-0.039999999999992,-0.03%,6347,50.9%,49.1%,"11:35 ET"
CY,"Cypress Semiconductr",15.53,-0.21,-1.33%,6334,74.6%,25.4%,"11:36 ET"
SFLY,"Shutterfly Inc",72.68,-0.089999999999989,-0.12%,6330,96.3%,3.7%,"11:34 ET"
AUY,"Yamana Gold",2.35,-0.02,-0.84%,6321,77.2%,22.8%,"11:36 ET"
OLED,"Universal Display",127.5,-0.099999999999994,-0.08%,6296,59.0%,41.0%,"11:35 ET"
FRAN,"Francesca's Holdings",4,-1.89,-32.09%,6274,59.5%,40.5%,"11:36 ET"
BHP,"Bhp Billiton Ltd",43.88,0.020000000000003,+0.05%,6240,82.7%,17.3%,"11:36 ET"
AIG,"American International Group",52.47,-0.25,-0.47%,6210,31.4%,68.6%,"11:36 ET"
BB,"Blackberry Ltd",10.18,0.21,+2.11%,6153,61.1%,38.9%,"11:36 ET"
BBY,"Best Buy Co",77.67,0.36,+0.47%,6135,57.1%,42.9%,"11:35 ET"
BX,"The Blackstone Group LP",35.95,0.050000000000004,+0.14%,6117,83.0%,17.0%,"11:36 ET"
COF,"Capital One Financial Corp",98.48,0.010000000000005,+0.01%,6008,61.9%,38.1%,"11:36 ET"
C,"Citigroup Inc",69.38,-0.25,-0.36%,5959,67.4%,32.6%,"11:36 ET"
IDTI,"Integrated Devices",46.68,4.6,+10.93%,5940,71.7%,28.3%,"11:36 ET"
ULTA,"Ulta Salon Cosmetic",286.5,0.54000000000002,+0.19%,5902,57.1%,42.9%,"11:36 ET"
ARNC,"Arconic Inc",22.23,0.24,+1.09%,5859,73.6%,26.4%,"11:36 ET"
YNDX,"Yandex N.V.",30.03,-0.29,-0.96%,5854,90.5%,9.5%,"11:36 ET"
AGN,"Allergan Plc",189.24,0.060000000000002,+0.03%,5806,45.3%,54.7%,"11:36 ET"
VLO,"Valero Energy Corp",115.22,-0.030000000000001,-0.03%,5798,50.7%,49.3%,"11:36 ET"
FOLD,"Amicus Therapeutics",12.02,0.02,+0.17%,5791,44.3%,55.7%,"11:36 ET"
LLY,"Eli Lilly and Company",105.89,-0.53,-0.50%,5763,59.1%,40.9%,"11:36 ET"
DVN,"Devon Energy Corp",41.05,0.54,+1.33%,5749,65.0%,35.0%,"11:36 ET"
LMT,"Lockheed Martin Corp",321.55,-1.4,-0.43%,5566,63.8%,36.2%,"11:35 ET"
KSU,"Kansas City Southern",119.18,-0.69999999999999,-0.58%,5490,91.5%,8.5%,"11:36 ET"
TRXC,"Transenterix Inc",5.29,0.0099999999999998,+0.19%,5480,80.8%,19.2%,"11:33 ET"
AZN,"Astrazeneca Plc",37.83,0.079999999999998,+0.21%,5469,91.1%,8.9%,"11:36 ET"
UAA,"Under Armour",20.05,-0.029999999999998,-0.15%,5403,57.9%,42.1%,"11:36 ET"
NTNX,"Nutanix Inc",52.68,0.86,+1.66%,5377,61.0%,39.0%,"11:36 ET"
WLL,"Whiting Petroleum Corp",47.59,0.75,+1.60%,5356,67.7%,32.3%,"11:36 ET"
SYF,"Synchrony Financial",32.46,0.28,+0.87%,5344,63.8%,36.2%,"11:36 ET"
BIIB,"Biogen Inc",337.76,-2.49,-0.73%,5310,51.0%,49.0%,"11:36 ET"
PENN,"Penn Natl Gaming Inc",31.89,-0.44,-1.36%,5297,30.8%,69.2%,"11:36 ET"
SNE,"Sony Corp",56.74,0.060000000000002,+0.11%,5247,85.3%,14.7%,"11:29 ET"
MOMO,"Momo Inc Ads",42.68,-0.12,-0.28%,5217,47.6%,52.4%,"11:36 ET"
DHI,"D.R. Horton",43.16,0.29,+0.68%,5192,68.5%,31.5%,"11:36 ET"
NOG,"Northern Oil and Gas",3.14,0.01,+0.32%,5180,4.2%,95.8%,"11:35 ET"
WPM,"Wheaton Precious Metals",15.37,-0.040000000000001,-0.26%,5171,59.3%,40.7%,"11:36 ET"
ETP,"Energy Transfer Partners",22.75,0.11,+0.49%,5166,82.5%,17.5%,"11:36 ET"
NOK,"Nokia Corp",5.36,-0.029999999999999,-0.56%,5158,78.0%,22.0%,"11:34 ET"
ESRX,"Express Scripts",89.5,-0.65000000000001,-0.72%,5148,28.0%,72.0%,"11:36 ET"
ACN,"Accenture Plc",170.34,0.78999999999999,+0.47%,5145,52.2%,47.8%,"11:36 ET"
AMAT,"Applied Materials",39.12,-0.48,-1.21%,5140,56.2%,43.8%,"11:36 ET"
STI,"Suntrust Banks",74.28,0.28,+0.38%,5027,6.1%,93.9%,"11:36 ET"
ESV,"Ensco Plc",6.79,0.23,+3.51%,5014,85.2%,14.8%,"11:36 ET"
MDT,"Medtronic Inc",96.34,-0.030000000000001,-0.03%,4954,41.8%,58.2%,"11:36 ET"
WFT,"Weatherford International Ltd",2.42,0.04,+1.68%,4896,47.4%,52.6%,"11:36 ET"
TLRD,"Tailored Brands Inc",23.48,-0.059999999999999,-0.25%,4867,82.8%,17.2%,"11:36 ET"
DVMT,"Dell Technologies Inc Cl V",96.78,-0.069999999999993,-0.07%,4840,51.9%,48.1%,"11:36 ET"
APA,"Apache Corp",43.65,0.34,+0.79%,4832,69.9%,30.1%,"11:36 ET"
VOD,"Vodafone Grp Plc Ads",21.67,0.020000000000003,+0.09%,4777,47.2%,52.8%,"11:36 ET"
NRZ,"New Residential Investment Corp",18.61,0.059999999999999,+0.32%,4756,88.3%,11.7%,"11:35 ET"
GRUB,"Grubhub Inc",145.35,4.34,+3.08%,4711,70.5%,29.5%,"11:36 ET"
CLMT,"Calumet Specialty Pr",6.95,-0.1,-1.42%,4630,40.3%,59.7%,"11:25 ET"
WTW,"Weight Watchers International Inc",69.51,-0.059999999999988,-0.09%,4618,73.4%,26.6%,"11:36 ET"
NXPI,"Nxp Semiconductors",89.06,-4.62,-4.93%,4617,44.9%,55.1%,"11:36 ET"
SPLK,"Splunk Inc",126.06,0.74000000000001,+0.59%,4603,64.7%,35.3%,"11:35 ET"
SFIX,"Stitch Fix Inc",46.09,0.1,+0.22%,4574,59.6%,40.4%,"11:35 ET"
SPOT,"Spotify Technology S.A.",181.84,-0.65000000000001,-0.36%,4557,50.3%,49.7%,"11:36 ET"
TECK,"Teck Resources Ltd",21.53,-0.31,-1.42%,4547,67.8%,32.2%,"11:36 ET"
SHLD,"Sears Hldgs Corp",1.45,0.04,+2.84%,4518,68.6%,31.4%,"11:34 ET"
SINA,"Sina Corp",64.35,-0.79000000000001,-1.21%,4499,53.3%,46.7%,"11:34 ET"
F,"Ford Motor Company",9.3,-0.08,-0.85%,4475,44.8%,55.2%,"11:36 ET"
NLSN,"Nielsen Holdings Plc",26.26,-0.31,-1.17%,4438,4.3%,95.7%,"11:36 ET"
CREE,"Cree Inc",43.22,-0.38,-0.87%,4419,78.9%,21.1%,"11:36 ET"
ZUO,"Zuora Inc.",25.05,0.38,+1.54%,4353,67.4%,32.6%,"11:36 ET"
SHPG,"Shire Plc Ads",169.36,1.38,+0.82%,4352,68.0%,32.0%,"11:33 ET"
BLUE,"Bluebird Bio",147.25,-0.75,-0.51%,4348,42.1%,57.9%,"11:35 ET"
SM,"Sm Energy Company",29.95,0.71,+2.43%,4244,2.2%,97.8%,"11:36 ET"
SRPT,"Sarepta Therapeutics",140.84,0.64000000000001,+0.46%,4243,55.5%,44.5%,"11:34 ET"
ABT,"Abbott Laboratories",66.51,-0.039999999999992,-0.06%,4239,59.0%,41.0%,"11:36 ET"
UTX,"United Technologies Corp",133.38,-0.27000000000001,-0.20%,4125,55.2%,44.8%,"11:36 ET"
AOBC,"American Outdoor Brands Corp",14.87,0.09,+0.61%,4105,57.6%,42.4%,"11:36 ET"
YY,"YY Inc",70.51,-0.079999999999998,-0.11%,4101,34.8%,65.2%,"11:36 ET"
FNKO,"Funko Inc Class A",27.42,-3.63,-11.69%,4100,73.4%,26.6%,"11:36 ET"
WP,"Worldpay Inc.",97.28,0.079999999999998,+0.08%,4099,49.5%,50.5%,"11:35 ET"
TAHO,"Tahoe Res Inc",2.66,-0.02,-0.75%,3968,96.4%,3.6%,"11:36 ET"
SONC,"Sonic Cp",38.96,3.34,+9.38%,3929,6.0%,94.0%,"11:36 ET"
VKTX,"Viking Thera",10.96,-0.47,-4.11%,3905,93.5%,6.5%,"11:36 ET"
SO,"Southern Company",44.25,-0.11,-0.25%,3902,56.4%,43.6%,"11:36 ET"
AAOI,"Applied Optoelect",32.62,-0.51000000000001,-1.54%,3883,70.4%,29.6%,"11:33 ET"
SCHW,"The Charles Schwab Corp",50.9,0.28,+0.55%,3875,66.4%,33.6%,"11:36 ET"
THC,"Tenet Healthcare Corp",29.88,-0.009999999999998,-0.03%,3873,39.9%,60.1%,"11:34 ET"
YELP,"Yelp Inc",45.38,0.13,+0.29%,3863,42.7%,57.3%,"11:35 ET"
REGN,"Regeneron Pharmaceutical",392.42,-2.62,-0.66%,3848,50.5%,49.5%,"11:34 ET"
GS,"Goldman Sachs Group",229.71,-2.2,-0.95%,3846,59.0%,41.0%,"11:36 ET"
EOG,"Eog Resources",116.01,1.69,+1.48%,3844,57.5%,42.5%,"11:34 ET"
CB,"Chubb Ltd",135.34,-0.12,-0.09%,3825,21.1%,78.9%,"11:36 ET"
TGTX,"Tg Therapeuticscmn",11.65,0.25,+2.19%,3783,69.4%,30.6%,"11:34 ET"
ALGN,"Align Technology I",378.01,3.23,+0.86%,3712,38.5%,61.5%,"11:34 ET"
SUM,"Summit Materials Inc",19.13,0.09,+0.47%,3689,93.5%,6.5%,"11:36 ET"
FLEX,"Flextronics Intl Ltd",12.85,-0.17,-1.31%,3641,67.3%,32.7%,"11:36 ET"
PBR,"Petroleo Brasileiro S.A. Petrobras",10.4,-0.48,-4.41%,3617,56.4%,43.6%,"11:36 ET"
ANTM,"Anthem Inc",263.06,0.47000000000003,+0.18%,3572,49.6%,50.4%,"11:35 ET"
DVAX,"Dynavax Technologies",12.35,-0.3,-2.37%,3556,11.3%,88.7%,"11:21 ET"
PYPL,"Paypal Holdings",90.93,1.13,+1.26%,3554,77.7%,22.3%,"11:36 ET"
TNDM,"Tandem Diabetes Care",45.91,-0.090000000000003,-0.20%,3530,66.0%,34.0%,"11:34 ET"
TRN,"Trinity Industries",35.53,-0.28,-0.78%,3518,95.3%,4.7%,"11:35 ET"
BZUN,"Baozun Inc Ads",44.47,-1.87,-4.04%,3513,56.3%,43.7%,"11:35 ET"
GD,"General Dynamics Corp",195.53,-0.16,-0.08%,3511,99.9%,0.1%,"11:35 ET"
TIF,"Tiffany & Co",123.73,-0.58999999999999,-0.47%,3509,67.5%,32.5%,"11:35 ET"
BAX,"Baxter International Inc",75.62,0.73,+0.97%,3494,11.8%,88.2%,"11:36 ET"
SU,"Suncor Energy Inc",38.3,-0.22000000000001,-0.57%,3460,79.1%,20.9%,"11:36 ET"
SIRI,"Sirius XM Holdings I",7.2,0.06,+0.84%,3458,87.0%,13.0%,"11:36 ET"
NTAP,"Netapp Inc",84.16,0.59999999999999,+0.72%,3454,70.2%,29.8%,"11:35 ET"
CLDR,"Cloudera Inc",17.55,0.12,+0.69%,3425,67.6%,32.4%,"11:36 ET"
PLAY,"Dave & Buster's Ente",57.17,-0.22,-0.38%,3413,47.4%,52.6%,"11:35 ET"
TPX,"Tempur-Pedic International Inc",53.84,0.07,+0.13%,3409,92.3%,7.7%,"11:33 ET"
UNM,"Unumprovident Corp",35.71,-0.23,-0.64%,3400,89.5%,10.5%,"11:36 ET"
VTL,"Vital Therapies Inc",7,0.05,+0.72%,3399,26.8%,73.2%,"11:21 ET"
AVAV,"Aerovironment Inc",107.84,1.73,+1.63%,3391,44.3%,55.7%,"11:35 ET"
BBVA,"Banco Bilbao Viscaya Argentaria S.A.",6.05,0.04,+0.67%,3387,1.3%,98.7%,"11:29 ET"
SC,"Santander Consumer USA Holdings",21.45,0.23,+1.08%,3386,39.8%,60.2%,"11:35 ET"
NOW,"Servicenow Inc",200.19,1.18,+0.59%,3385,46.4%,53.6%,"11:36 ET"
EXPE,"Expedia Group Inc.",129.12,0.069999999999993,+0.05%,3342,48.3%,51.7%,"11:36 ET"
FDC,"First Data Corp",25.09,-0.07,-0.28%,3324,69.4%,30.6%,"11:36 ET"
MTW,"Manitowoc Company",21.91,-0.53,-2.36%,3312,96.9%,3.1%,"11:35 ET"
BBBY,"Bed Bath & Beyond",18.69,0.060000000000002,+0.32%,3278,54.1%,45.9%,"11:33 ET"
UPL,"Ultra Petroleum Corp",1.17,-0.02,-1.68%,3264,97.8%,2.2%,"11:31 ET"
ISRG,"Intuitive Surg Inc",544.56,2.6799999999999,+0.49%,3257,32.1%,67.9%,"11:35 ET"
SPWR,"Sunpower Corp",6.73,0.27,+4.18%,3248,55.4%,44.6%,"11:35 ET"
SBGI,"Sinclair Brdcst A",27,0.02,+0.07%,3241,86.2%,13.8%,"11:32 ET"
MCK,"Mckesson Corp",129.82,-0.54000000000002,-0.41%,3237,79.6%,20.4%,"11:35 ET"
AET,"Aetna Inc",201.43,0.38,+0.19%,3225,29.8%,70.2%,"11:36 ET"
GM,"General Motors Company",33.68,-0.19,-0.56%,3217,74.3%,25.7%,"11:36 ET"
ETN,"Eaton Corp",85.28,0.030000000000001,+0.04%,3210,71.9%,28.1%,"11:35 ET"
CPB,"Campbell Soup Company",40.38,-0.15,-0.37%,3185,56.8%,43.2%,"11:36 ET"
MDB,"Mongodb Inc Class A",83.77,0.47,+0.56%,3181,77.3%,22.7%,"11:36 ET"
TTM,"Tata Motors Ltd",18.13,-0.64,-3.41%,3142,45.1%,54.9%,"11:36 ET"
UA,"Under Armour Inc Class C Comm",18.72,-0.039999999999999,-0.21%,3131,59.4%,40.6%,"11:35 ET"
TSM,"Taiwan Semiconductor Manufacturing",44.16,-0.46,-1.03%,3130,82.2%,17.8%,"11:36 ET"
XPO,"Xpo Logistics Inc",112.7,0.7,+0.63%,3084,87.3%,12.7%,"11:36 ET"
ADI,"Analog Devices",93.39,-1.2,-1.27%,3072,32.4%,67.6%,"11:36 ET"
TIS,"Orchids Paper Products Company",3,-0.04,-1.32%,3070,9.8%,90.2%,"11:28 ET"
Z,"Zillow Group Cl C",46.9,0.79,+1.71%,3046,70.8%,29.2%,"11:34 ET"
CCL,"Carnival Corp",61.97,-0.020000000000003,-0.03%,3038,70.4%,29.6%,"11:35 ET"
NUE,"Nucor Corp",62.37,-0.07,-0.11%,3026,32.5%,67.5%,"11:35 ET"
BYD,"Boyd Gaming Corp",33.05,-0.2,-0.60%,3016,6.8%,93.2%,"11:36 ET"
W,"Wayfair Inc",142.78,4,+2.88%,3011,58.3%,41.7%,"11:36 ET"
SPPI,"Spectrum Pharma Inc",21.1,0.55,+2.68%,3003,93.9%,6.1%,"11:36 ET"
CIEN,"Ciena Corp",31.2,-0.36,-1.14%,2997,56.8%,43.2%,"11:36 ET"
YUM,"Yum! Brands",88.19,-0.27,-0.31%,2996,57.0%,43.0%,"11:36 ET"
WAB,"Wabtec Corp",112.54,-0.069999999999993,-0.06%,2987,12.2%,87.8%,"11:35 ET"
MYL,"Mylan Nv Ord Shs",37.62,-0.37,-0.97%,2984,38.5%,61.5%,"11:36 ET"
ETSY,"Etsy Inc",49.24,2.05,+4.34%,2956,30.2%,69.8%,"11:36 ET"
NWL,"Newell Rubbermaid Inc",21.47,-0.14,-0.65%,2930,68.2%,31.8%,"11:36 ET"
STM,"Stmicroelectronics N.V.",18.37,-0.4,-2.13%,2927,90.4%,9.6%,"11:35 ET"
BK,"Bank of New York Mellon Corp",52.16,0.13,+0.25%,2900,30.4%,69.6%,"11:35 ET"
JPM,"JP Morgan Chase & Co",113.97,0.26000000000001,+0.23%,2897,74.4%,25.6%,"11:36 ET"
DG,"Dollar General Corp",112.42,0.97,+0.87%,2893,83.2%,16.8%,"11:36 ET"
TSN,"Tyson Foods",63.13,-0.26,-0.41%,2878,57.1%,42.9%,"11:36 ET"
CENX,"Century Aluminum C",11.98,-0.21,-1.72%,2876,81.1%,18.9%,"11:36 ET"
HRB,"H&R Block",25.32,-0.43,-1.67%,2836,77.9%,22.1%,"11:33 ET"
LITE,"Lumentum Hld",61.35,-3.8,-5.83%,2831,62.8%,37.2%,"11:36 ET"
CASY,"Casey's General Stor",126.51,9.72,+8.32%,2818,56.8%,43.2%,"11:35 ET"
AGNC,"American Capital Age",19.14,-0.050000000000001,-0.26%,2815,13.0%,87.0%,"11:35 ET"
EXTR,"Extreme Networks",5.79,-0.16,-2.69%,2782,27.2%,72.8%,"11:36 ET"
DDD,"3D Systems Corp",18.42,-0.26,-1.39%,2777,67.6%,32.4%,"11:36 ET"
MAN,"Manpower Inc",87.1,-1.24,-1.40%,2776,92.0%,8.0%,"11:33 ET"
IBKR,"Interactive Brokers",57.87,-0.17,-0.29%,2769,88.2%,11.8%,"11:30 ET"
NKTR,"Nektar Therapeutics",64.71,-1.87,-2.81%,2751,22.5%,77.5%,"11:36 ET"
KLXI,"Klx Inc",73.33,-0.27,-0.37%,2726,6.3%,93.7%,"11:36 ET"
TTWO,"Take-Two Interacti",132.13,2.97,+2.30%,2697,44.0%,56.0%,"11:34 ET"
MAT,"Mattel Inc",15.81,-0.25,-1.56%,2692,74.0%,26.0%,"11:36 ET"
VSI,"Vitamin Shoppe Inc",13.2,0.049999999999999,+0.38%,2647,97.0%,3.0%,"11:36 ET"
CME,"CME Group Inc",173.27,-0.82999999999998,-0.48%,2631,65.6%,34.4%,"11:36 ET"
NSC,"Norfolk Southern Corp",178.92,-1.2,-0.67%,2613,47.4%,52.6%,"11:35 ET"
FAST,"Fastenal Co",59.12,0.95,+1.63%,2600,7.5%,92.5%,"11:36 ET"
FEYE,"Fireeye Inc",15.59,0.15,+0.97%,2593,69.8%,30.2%,"11:36 ET"
LYB,"Lyondellbasell Industries Nv",106.61,-0.27,-0.25%,2590,46.1%,53.9%,"11:36 ET"
AEM,"Agnico-Eagle Mines Ltd",32.8,-0.23,-0.70%,2573,48.0%,52.0%,"11:36 ET"
CHRW,"C.H. Robinson Ww",100.37,0.19,+0.19%,2565,68.4%,31.6%,"11:35 ET"
FOMX,"Foamix Pharma Ord",6.06,-0.06,-0.98%,2562,36.0%,64.0%,"11:26 ET"
TTD,"Trade Desk Inc",147.26,4.82,+3.38%,2559,48.5%,51.5%,"11:36 ET"
JNJ,"Johnson & Johnson",138.59,1.38,+1.01%,2546,63.2%,36.8%,"11:36 ET"
ECA,"Encana Corp",12.17,0.16,+1.33%,2526,79.7%,20.3%,"11:36 ET"
ACOR,"Acorda Therapeutics",20,-0.8,-3.85%,2522,21.8%,78.2%,"11:34 ET"
CRC,"California Resources Corporatio",37.25,1.46,+4.08%,2513,71.6%,28.4%,"11:36 ET"
VMW,"Vmware Inc",154.24,0.45000000000002,+0.29%,2495,70.9%,29.1%,"11:34 ET"
YPF,"Ypf Sociedad Anonima",14.4,-0.42,-2.83%,2493,59.9%,40.1%,"11:34 ET"
KFY,"Korn/Ferry International",49.9,-1.39,-2.71%,2485,81.7%,18.3%,"11:36 ET"
LSCC,"Lattice Semicond",7.69,-0.06,-0.77%,2477,100.0%,0.0%,"11:34 ET"
CWH,"Camping World Holdings Inc",19.48,-0.82,-4.04%,2476,57.3%,42.7%,"11:36 ET"
ANET,"Arista Networks Inc",267.22,-1.79,-0.67%,2466,43.1%,56.9%,"11:36 ET"
TRIP,"Tripadvisor Inc",51.11,0.44,+0.87%,2464,53.2%,46.8%,"11:36 ET"
CF,"Cf Industries Holdings",52.22,0.75,+1.46%,2463,69.5%,30.5%,"11:36 ET"
ADP,"Automatic Data Procs",146.83,-0.19,-0.13%,2462,54.3%,45.7%,"11:36 ET"
YEXT,"Yext Inc",26.12,0.080000000000002,+0.31%,2454,24.2%,75.8%,"11:30 ET"
DKS,"Dick's Sporting Goods Inc",39.12,-0.2,-0.51%,2434,54.8%,45.2%,"11:36 ET"
VMC,"Vulcan Materials Company",108.68,1.48,+1.38%,2423,33.4%,66.6%,"11:35 ET"
ADM,"Archer Daniels Midland Company",49.56,-0.14,-0.28%,2419,68.7%,31.3%,"11:36 ET"
INFO,"IHS Markit Ltd",54.96,-0.009999999999998,-0.02%,2405,99.3%,0.7%,"11:35 ET"
ARWR,"Arrowhead Pharma",20.75,0.45,+2.22%,2394,47.6%,52.4%,"11:36 ET"
IBM,"International Business Machines",146.4,0.75,+0.51%,2374,34.2%,65.8%,"11:36 ET"
XOG,"Extraction Oil & Gas Inc",10.43,-0.41,-3.78%,2370,95.7%,4.3%,"11:36 ET"
NOC,"Northrop Grumman Corp",303.12,-0.81999999999999,-0.27%,2366,54.6%,45.4%,"11:36 ET"
AMC,"Amc Entertainment Holdings Inc",19.75,-0.15,-0.75%,2342,79.7%,20.3%,"11:33 ET"
BECN,"Beacon Roofing Suppl",41.71,0.57,+1.39%,2317,66.9%,33.1%,"11:33 ET"
DISH,"Dish Network Corp",34.47,-0.4,-1.15%,2302,34.5%,65.5%,"11:36 ET"
NOV,National-Oilwell,44.15,0.5,+1.15%,2296,45.1%,54.9%,"11:36 ET"
FNV,"Franco Nev Corp",58.71,-1.42,-2.36%,2282,4.8%,95.2%,"11:36 ET"
CVE,"Cenovus Energy Inc",8.89,-0.11,-1.22%,2279,87.9%,12.1%,"11:36 ET"
CRSP,"Crispr Therapeutics Ag",50.51,0.82,+1.65%,2278,45.9%,54.1%,"11:36 ET"
BBT,"BB&T Corp",51.96,0.2,+0.39%,2276,21.3%,78.7%,"11:36 ET"
AG,"First Majestic Silver",5.22,-0.11,-2.06%,2274,66.3%,33.7%,"11:35 ET"
GALT,"Galectin Therapeutic",5.57,-0.11,-1.94%,2264,87.7%,12.3%,"11:21 ET"
BG,"Bunge Ltd",62.36,-0.6,-0.95%,2260,87.3%,12.7%,"11:36 ET"
ESNT,"Essent Group Ltd",44.99,0.19,+0.42%,2251,100.0%,0.0%,"11:36 ET"
NVO,"Novo Nordisk A/S",48.3,-0.13,-0.27%,2249,98.4%,1.6%,"11:36 ET"
HAIN,"Hain Celestial Grp",28.24,-0.84,-2.89%,2240,71.4%,28.6%,"11:36 ET"
NVAX,"Novavax Inc",1.43,-0.05,-3.38%,2212,96.5%,3.5%,"11:31 ET"
ALXN,"Alexion Pharm Inc",117.7,-0.11,-0.09%,2207,47.7%,52.3%,"11:35 ET"
SEAS,"Seaworld Entertainment Inc Co",30.91,-0.16,-0.51%,2190,81.1%,18.9%,"11:36 ET"
DUK,"Duke Energy Corp",82.22,-0.090000000000003,-0.11%,2179,28.4%,71.6%,"11:36 ET"
KEY,Keycorp,21.27,0.36,+1.72%,2176,71.7%,28.3%,"11:33 ET"
XYL,"Xylem Inc",79.76,-0.14,-0.18%,2164,92.0%,8.0%,"11:35 ET"
NLST,"Netlist Inc",0.85,0.1,+13.33%,2162,97.2%,2.8%,"11:36 ET"
VIAV,"Viavi Solutions",11.27,-0.06,-0.53%,2140,73.6%,26.4%,"11:36 ET"
NNBR,"NN Inc",17.3,-2.55,-12.85%,2136,23.5%,76.5%,"11:36 ET"
EXAS,"Exact Sciences Cor",75.3,-0.69,-0.91%,2131,58.7%,41.3%,"11:31 ET"
NTR,"Nutrien Ltd",56,0.7,+1.27%,2100,69.2%,30.8%,"11:36 ET"
TMUS,"T-Mobile US",65.74,0.17999999999999,+0.27%,2099,49.8%,50.2%,"11:36 ET"
MIK,"The Michaels Comp",17.08,-0.3,-1.73%,2092,76.4%,23.6%,"11:34 ET"
CROX,"Crocs Inc",21.08,-0.26,-1.22%,2054,73.1%,26.9%,"11:36 ET"
VRTX,"Vertex Pharmaceutic",179.7,0.41999999999999,+0.23%,2037,50.4%,49.6%,"11:36 ET"
DFS,"Discover Financial Services",78.81,0.68000000000001,+0.87%,2035,83.4%,16.6%,"11:35 ET"
ESPR,"Esperion Theraptc",48,-1.54,-3.11%,2031,25.2%,74.8%,"11:30 ET"
CLR,"Continental Resources",61.41,1.4,+2.33%,2026,62.2%,37.8%,"11:36 ET"
VIRT,"Virtu Financial Cm A",21.55,-0.25,-1.15%,2023,21.1%,78.9%,"11:34 ET"
GGAL,"Grupo Fin Galicia",21.72,-1.26,-5.48%,2018,54.7%,45.3%,"11:26 ET"
ILMN,"Illumina Inc",350.74,1.37,+0.39%,2008,40.3%,59.7%,"11:35 ET"
CTSH,"Cognizant Tech Sol",76.39,0.83,+1.10%,1998,35.2%,64.8%,"11:36 ET"
CLX,"Clorox Company",150.35,-0.21000000000001,-0.14%,1990,48.8%,51.2%,"11:34 ET"
QCOM,"Qualcomm Inc",72.09,-0.22999999999999,-0.32%,1985,88.8%,11.2%,"11:36 ET"
VSTM,"Verastem Inc",8.98,-0.07,-0.77%,1973,88.4%,11.6%,"11:35 ET"
COST,"Costco Wholesale",244,0.81999999999999,+0.34%,1970,73.3%,26.7%,"11:35 ET"
QRVO,"Qorvo Inc",72.73,-1.25,-1.69%,1968,81.3%,18.8%,"11:36 ET"
TAP,"Molson Coors Brewing Company",63.8,-0.93000000000001,-1.44%,1957,58.6%,41.4%,"11:36 ET"
NGD,"New Gold Inc",0.79,-0.01,-1.27%,1953,90.7%,9.3%,"11:35 ET"
AU,"Anglogold Ashanti Ltd",7.77,-0.03,-0.38%,1924,31.9%,68.1%,"11:36 ET"
EDU,"New Oriental Education & Technology Group",70.91,0.86,+1.23%,1922,41.5%,58.5%,"11:36 ET"
BLDR,"Builders Firstsource",16.48,-0.25,-1.49%,1919,89.2%,10.8%,"11:36 ET"
APRN,"Blue Apron Holdings Inc",1.85,-0.06,-3.14%,1909,70.3%,29.7%,"11:20 ET"
EROS,"Eros International Plc",12.95,0.95,+7.92%,1895,54.1%,45.9%,"11:35 ET"
CXO,"Concho Resources Inc",136.56,3.95,+2.98%,1894,53.0%,47.0%,"11:36 ET"
CYH,"Community Health Systems",3.19,0.0099999999999998,+0.31%,1869,61.9%,38.1%,"11:36 ET"
COUP,"Coupa Software Inc",79.12,1.1,+1.41%,1866,41.9%,58.1%,"11:36 ET"
TM,"Toyota Motor Corp Ltd Ord",119.69,0.50999999999999,+0.43%,1863,23.2%,76.8%,"11:32 ET"
CMCM,"Cheetah Mobile Inc",9.06,-0.21,-2.27%,1862,95.2%,4.8%,"11:30 ET"
MO,"Altria Group",59.46,-1.12,-1.85%,1837,48.8%,51.2%,"11:36 ET"
CSIQ,"Canadian Solar Inc",14.75,0.06,+0.41%,1834,71.8%,28.2%,"11:34 ET"
BCS,"Barclays Plc",9.26,-0.11,-1.17%,1834,7.5%,92.5%,"11:35 ET"
UBNT,"Ubiquiti Networks I",92.59,3.2,+3.58%,1812,23.0%,77.0%,"11:35 ET"
ABB,"Abb Ltd",23.26,-0.049999999999997,-0.21%,1811,84.6%,15.4%,"11:36 ET"
