Symbol,Name,Last,Change,%Chg,"Options Vol.","% Call Options","% Put Options",Time
CAI,"Cai International",26.98,-0.28,-1.03%,334,82.9%,17.1%,"11:19 ET"
STAA,"Staar Surgical Co",50.85,1.15,+2.31%,332,93.1%,6.9%,"11:36 ET"
AKCA,"Akcea Therapeutics Inc",25.05,0.13,+0.52%,331,11.8%,88.2%,"11:31 ET"
ULTI,"Ultimate Software",321.05,2.57,+0.81%,330,77.3%,22.7%,"11:32 ET"
AEE,"Ameren Corp",65.64,-0.26000000000001,-0.39%,330,85.8%,14.2%,"11:36 ET"
CDNS,"Cadence Design Sys",46.31,-0.18,-0.39%,323,84.5%,15.5%,"11:36 ET"
SIVB,"Svb Financial Grp",324.63,0.5,+0.15%,322,62.7%,37.3%,"11:34 ET"
BCPC,"Balchem Cp",110.44,-0.51000000000001,-0.46%,322,3.4%,96.6%,"11:35 ET"
TEX,"Terex Corp",37.49,-0.23999999999999,-0.64%,321,77.3%,22.7%,"11:35 ET"
SEE,"Sealed Air Corp",40.53,-0.049999999999997,-0.12%,321,55.1%,44.9%,"11:36 ET"
KODK,"Eastman Kodak",2.92,-0.08,-2.67%,321,56.7%,43.3%,"11:36 ET"
CHRS,"Coherus Bio",18.45,0.55,+3.07%,321,68.8%,31.2%,"11:32 ET"
WES,"Western Gas Partners LP",50.98,0.54,+1.07%,320,0.6%,99.4%,"11:36 ET"
VCEL,"Vericel Corproation",12.65,-0.1,-0.78%,320,40.9%,59.1%,"11:35 ET"
TKR,"Timken Company",47.9,0,0.00%,319,43.9%,56.1%,"11:21 ET"
VOYA,"VOYA Financial Inc",48.07,-0.14,-0.29%,316,74.4%,25.6%,"11:36 ET"
EGN,"Energen Corp",73.44,2.26,+3.18%,316,48.4%,51.6%,"11:36 ET"
BLMN,"Bloomin' Brands Inc",19.06,-0.080000000000002,-0.42%,315,86.0%,14.0%,"11:36 ET"
FLXN,"Flexion Therapeutics",22.03,0.32,+1.47%,315,47.3%,52.7%,"11:32 ET"
MAC,"Macerich Company",57.2,1.25,+2.23%,313,44.1%,55.9%,"11:35 ET"
BMO,"Bank of Montreal",81.46,0.039999999999992,+0.05%,313,42.8%,57.2%,"11:36 ET"
UIHC,"United Insurance Hld",20.48,0.039999999999999,+0.20%,313,0.6%,99.4%,"11:24 ET"
RUN,"Sunrun Inc",12.67,0.72,+6.03%,313,93.0%,7.0%,"11:36 ET"
ZG,"Zillow Grp Inc Cl A",46.56,0.82,+1.79%,312,69.9%,30.1%,"11:36 ET"
IDCC,"Interdigital Inc",81.6,0.099999999999994,+0.12%,310,57.7%,42.3%,"11:36 ET"
EHTH,"Ehealth Inc",27.43,0.2,+0.73%,307,99.3%,0.7%,"11:19 ET"
CRAY,"Cray Inc",21.17,-0.029999999999998,-0.14%,307,49.5%,50.5%,"11:21 ET"
GV,"Goldfield Corp",4.75,-0.1,-2.06%,306,93.5%,6.5%,"11:17 ET"
XIN,"Xinyuan Real Estate Co Ltd",4.57,0.09,+2.01%,305,77.0%,23.0%,"11:19 ET"
TMK,"Torchmark Corp",84.62,0.16000000000001,+0.19%,305,26.2%,73.8%,"11:34 ET"
CAMT,"Camtek Ltd",8.78,0.11,+1.27%,305,91.5%,8.5%,"11:19 ET"
TX,"Ternium S.A.",25.74,-0.38,-1.45%,303,61.4%,38.6%,"11:31 ET"
